2023-11-14 21:48:47.151 | INFO     | scripts.train_CUB:train_val:49 - config: {'seed': 60, 'm': 16, 'alpha': 1, 'beta': 1.0, 'beta2': 0.01, 'mome': 0.9, 'epoch_change': 9, 'sigma': 1.0, 'gamma': 20.0, 'lambda': 0.0001, 'mu': 1, 'nu': 1, 'eta': 55, 'dcc_iter': 10, 'optimizer': {'type': <class 'torch.optim.rmsprop.RMSprop'>, 'optim_param': {'lr': 1e-05, 'weight_decay': 1e-05}}, 'resize_size': 256, 'crop_size': 224, 'batch_size': 64, 'net': <class 'model.Net.MoCo'>, 'dataset': 'nabirds', 'without_BN': False, 'epoch': 1000, 'test_map': 3, 'stop_iter': 10, 'device': device(type='cuda'), 'n_gpu': 1, 'bit_list': [32], 'max_norm': 5.0, 'T': 0.001, 'resnet_url': '../../Pretrain/resnet50-19c8e357.pth', 'url': '../../Pretrain/moco_v2_800ep_pretrain.pth', 'txt_path': '../../data/glove/glove.6B.50d.txt', 'label_size': 100, 'update_center': False, 'topk': -1, 'n_class': 555, 'data_path': '../../data/nabirds/images/', 'data': {'train_set': {'list_path': './data/nabirds/train.txt', 'batch_size': 64}, 'test_set': {'list_path': './data/nabirds/test.txt', 'batch_size': 64}, 'database': {'list_path': './data/nabirds/train.txt', 'batch_size': 64}}, 'order_seed': 80, 'center_path': './centerswithoutVar/CSQ_init_True_555_32.npy', 'CSQ_center': './CSQcenters/CSQ_555_32.npy', 'remarks': 'Ours', 'save_path': './results/nabirds/Ours', 'save_center': './results/nabirds/Ours/ours_32.npy', 'info': '[Ours]', 'loss_way': 'Ours', 'num_train': 23929}
2023-11-14 21:48:47.151 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 1/1000 21:48:47 bits: 32 dataset: nabirds loss way: Ours training...
2023-11-14 21:52:18.451 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.012913769444719675, center loss: 4.819235174916685, pair loss: 0
2023-11-14 21:52:18.452 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 2/1000 21:52:18 bits: 32 dataset: nabirds loss way: Ours training...
2023-11-14 21:55:47.799 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.011677771863990768, center loss: 4.3569315345957875, pair loss: 0
2023-11-14 21:55:47.799 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 3/1000 21:55:47 bits: 32 dataset: nabirds loss way: Ours training...
2023-11-14 21:59:18.831 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.010889707785597778, center loss: 4.062145716510713, pair loss: 0
2023-11-14 22:03:39.013 | INFO     | scripts.train_CUB:train_val:98 - save in ./results/nabirds/Ours
2023-11-14 22:03:39.013 | INFO     | scripts.train_CUB:train_val:108 - [Ours] 3/1000 21:55:47 bits: 32 dataset: nabirds Best mAP: 0.09445125905583181, current mAP: 0.09445125905583181
2023-11-14 22:03:39.013 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 4/1000 22:03:39 bits: 32 dataset: nabirds loss way: Ours training...
2023-11-14 22:07:09.540 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.010281483351407364, center loss: 3.8346373848617077, pair loss: 0
