2023-11-12 12:14:14.945 | INFO     | scripts.train_CUB:train_val:48 - config: {'seed': 60, 'm': 16, 'alpha': 1, 'beta': 1.0, 'beta2': 0.01, 'mome': 0.9, 'epoch_change': 9, 'sigma': 1.0, 'gamma': 20.0, 'lambda': 0.0001, 'mu': 1, 'nu': 1, 'eta': 55, 'dcc_iter': 10, 'optimizer': {'type': <class 'torch.optim.rmsprop.RMSprop'>, 'optim_param': {'lr': 1e-05, 'weight_decay': 1e-05}}, 'resize_size': 256, 'crop_size': 224, 'batch_size': 64, 'net': <class 'model.Net.MoCo'>, 'dataset': 'car_ims', 'without_BN': False, 'epoch': 1000, 'test_map': 3, 'stop_iter': 10, 'device': device(type='cuda'), 'n_gpu': 1, 'bit_list': [64], 'max_norm': 5.0, 'T': 0.001, 'resnet_url': '../../Pretrain/resnet50-19c8e357.pth', 'url': '../../Pretrain/moco_v2_800ep_pretrain.pth', 'txt_path': '../../data/glove/glove.6B.50d.txt', 'label_size': 100, 'update_center': False, 'topk': -1, 'n_class': 196, 'data_path': '../../data/', 'data': {'train_set': {'list_path': './data/car_ims/train.txt', 'batch_size': 64}, 'test_set': {'list_path': './data/car_ims/test.txt', 'batch_size': 64}, 'database': {'list_path': './data/car_ims/train.txt', 'batch_size': 64}}, 'order_seed': 80, 'center_path': './centerswithoutVar/CSQ_init_True_196_64.npy', 'CSQ_center': './CSQcenters/CSQ_196_64.npy', 'remarks': 'Ours', 'save_path': './results/car_ims/Ours', 'save_center': './results/car_ims/Ours/ours_64.npy', 'info': '[Ours]', 'loss_way': 'Ours', 'num_train': 8144}
2023-11-12 12:14:14.945 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 1/1000 12:14:14 bits: 64 dataset: car_ims loss way: Ours training...
2023-11-12 12:15:39.465 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.031616970780305564, center loss: 4.043371738865972, pair loss: 0
2023-11-12 12:15:39.467 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 2/1000 12:15:39 bits: 64 dataset: car_ims loss way: Ours training...
2023-11-12 12:17:01.777 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.027981828214251436, center loss: 3.5780930668115616, pair loss: 0
2023-11-12 12:17:01.778 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 3/1000 12:17:01 bits: 64 dataset: car_ims loss way: Ours training...
2023-11-12 12:18:23.715 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.02602331388334278, center loss: 3.3274057302623987, pair loss: 0
2023-11-12 12:20:01.405 | INFO     | scripts.train_CUB:train_val:97 - save in ./results/car_ims/Ours
2023-11-12 12:20:01.405 | INFO     | scripts.train_CUB:train_val:107 - [Ours] 3/1000 12:17:01 bits: 64 dataset: car_ims Best mAP: 0.06306502310793623, current mAP: 0.06306502310793623
2023-11-12 12:20:01.406 | INFO     | scripts.train_CUB:train_val:53 - [Ours] 4/1000 12:20:01 bits: 64 dataset: car_ims loss way: Ours training...
2023-11-12 12:21:22.822 | INFO     | scripts.train_CUB:train_val:81 - train loss: 0.0243903006776236, center loss: 3.1183661576360464, pair loss: 0
